cart_velocity,pendulum_angle,pendulum_angular_velocity,force
-3.141592653589793,1.0471975511965976,-3.141592653589793,-301.7472342742981
-3.141592653589793,1.0471975511965976,-2.8797932657906435,-286.86568697535256
-3.141592653589793,1.0471975511965976,-2.6179938779914944,-271.98413967640704
-3.141592653589793,1.0471975511965976,-2.356194490192345,-257.1025923774615
-3.141592653589793,1.0471975511965976,-2.0943951023931957,-242.22104507851606
-3.141592653589793,1.0471975511965976,-1.8325957145940461,-227.33949777957054
-3.141592653589793,1.0471975511965976,-1.5707963267948966,-212.45795048062502
-3.141592653589793,1.0471975511965976,-1.3089969389957472,-197.5764031816795
-3.141592653589793,1.0471975511965976,-1.0471975511965979,-182.694855882734
-3.141592653589793,1.0471975511965976,-0.7853981633974483,-167.81330858378848
-3.141592653589793,1.0471975511965976,-0.5235987755982991,-152.931761284843
-3.141592653589793,1.0471975511965976,-0.2617993877991496,-138.05021398589747
-3.141592653589793,1.0471975511965976,0.0,-123.16866668695195
-3.141592653589793,1.0471975511965976,0.26179938779914913,-108.28711938800646
-3.141592653589793,1.0471975511965976,0.5235987755982987,-93.40557208906094
-3.141592653589793,1.0471975511965976,0.7853981633974478,-78.52402479011545
-3.141592653589793,1.0471975511965976,1.0471975511965974,-63.64247749116992
-3.141592653589793,1.0471975511965976,1.3089969389957465,-48.76093019222442
-3.141592653589793,1.0471975511965976,1.5707963267948966,-33.87938289327887
-3.141592653589793,1.0471975511965976,1.8325957145940457,-18.99783559433338
-3.141592653589793,1.0471975511965976,2.094395102393195,-4.116288295387889
-3.141592653589793,1.0471975511965976,2.356194490192345,10.765259003557645
-3.141592653589793,1.0471975511965976,2.617993877991494,25.646806302503165
-3.141592653589793,1.0471975511965976,2.879793265790643,40.52835360144866
-3.141592653589793,1.0471975511965976,3.141592653589793,55.409900900394206
-3.141592653589793,1.121997376282069,-3.141592653589793,-289.0748441781128
-3.141592653589793,1.121997376282069,-2.8797932657906435,-274.1932968791673
-3.141592653589793,1.121997376282069,-2.6179938779914944,-259.3117495802218
-3.141592653589793,1.121997376282069,-2.356194490192345,-244.43020228127625
-3.141592653589793,1.121997376282069,-2.0943951023931957,-229.54865498233076
-3.141592653589793,1.121997376282069,-1.8325957145940461,-214.66710768338524
-3.141592653589793,1.121997376282069,-1.5707963267948966,-199.78556038443972
-3.141592653589793,1.121997376282069,-1.3089969389957472,-184.9040130854942
-3.141592653589793,1.121997376282069,-1.0471975511965979,-170.0224657865487
-3.141592653589793,1.121997376282069,-0.7853981633974483,-155.1409184876032
-3.141592653589793,1.121997376282069,-0.5235987755982991,-140.25937118865767
-3.141592653589793,1.121997376282069,-0.2617993877991496,-125.37782388971216
-3.141592653589793,1.121997376282069,0.0,-110.49627659076664
-3.141592653589793,1.121997376282069,0.26179938779914913,-95.61472929182115
-3.141592653589793,1.121997376282069,0.5235987755982987,-80.73318199287563
-3.141592653589793,1.121997376282069,0.7853981633974478,-65.85163469393012
-3.141592653589793,1.121997376282069,1.0471975511965974,-50.97008739498461
-3.141592653589793,1.121997376282069,1.3089969389957465,-36.08854009603911
-3.141592653589793,1.121997376282069,1.5707963267948966,-21.206992797093562
-3.141592653589793,1.121997376282069,1.8325957145940457,-6.3254454981480706
-3.141592653589793,1.121997376282069,2.094395102393195,8.556101800797421
-3.141592653589793,1.121997376282069,2.356194490192345,23.437649099742956
-3.141592653589793,1.121997376282069,2.617993877991494,38.319196398688476
-3.141592653589793,1.121997376282069,2.879793265790643,53.20074369763397
-3.141592653589793,1.121997376282069,3.141592653589793,68.08229099657952
-3.141592653589793,1.19679720136754,-3.141592653589793,-276.40245408192754
-3.141592653589793,1.19679720136754,-2.8797932657906435,-261.520906782982
-3.141592653589793,1.19679720136754,-2.6179938779914944,-246.6393594840365
-3.141592653589793,1.19679720136754,-2.356194490192345,-231.75781218509098
-3.141592653589793,1.19679720136754,-2.0943951023931957,-216.87626488614552
-3.141592653589793,1.19679720136754,-1.8325957145940461,-201.9947175872
-3.141592653589793,1.19679720136754,-1.5707963267948966,-187.11317028825448
-3.141592653589793,1.19679720136754,-1.3089969389957472,-172.23162298930896
-3.141592653589793,1.19679720136754,-1.0471975511965979,-157.35007569036344
-3.141592653589793,1.19679720136754,-0.7853981633974483,-142.46852839141792
-3.141592653589793,1.19679720136754,-0.5235987755982991,-127.58698109247243
-3.141592653589793,1.19679720136754,-0.2617993877991496,-112.70543379352691
-3.141592653589793,1.19679720136754,0.0,-97.82388649458139
-3.141592653589793,1.19679720136754,0.26179938779914913,-82.9423391956359
-3.141592653589793,1.19679720136754,0.5235987755982987,-68.06079189669038
-3.141592653589793,1.19679720136754,0.7853981633974478,-53.179244597744876
-3.141592653589793,1.19679720136754,1.0471975511965974,-38.297697298799356
-3.141592653589793,1.19679720136754,1.3089969389957465,-23.416149999853857
-3.141592653589793,1.19679720136754,1.5707963267948966,-8.534602700908309
-3.141592653589793,1.19679720136754,1.8325957145940457,6.346944598037183
-3.141592653589793,1.19679720136754,2.094395102393195,21.228491896982675
-3.141592653589793,1.19679720136754,2.356194490192345,36.11003919592821
-3.141592653589793,1.19679720136754,2.617993877991494,50.99158649487373
-3.141592653589793,1.19679720136754,2.879793265790643,65.87313379381922
-3.141592653589793,1.19679720136754,3.141592653589793,80.75468109276477
-3.141592653589793,1.2715970264530114,-3.141592653589793,-263.7300639857422
-3.141592653589793,1.2715970264530114,-2.8797932657906435,-248.8485166867967
-3.141592653589793,1.2715970264530114,-2.6179938779914944,-233.96696938785118
