cart_velocity,pendulum_angle,pendulum_angular_velocity,force
-3.14,1.0471975511966,-3.14,-301.665635032648
-3.04,1.0471975511966,-3.14,-300.469503040035
-2.94,1.0471975511966,-3.14,-299.273371047422
-2.84,1.0471975511966,-3.14,-298.077239054809
-2.74,1.0471975511966,-3.14,-296.881107062197
-2.64,1.0471975511966,-3.14,-295.684975069584
-2.54,1.0471975511966,-3.14,-294.488843076971
-2.44,1.0471975511966,-3.14,-293.292711084358
-2.34,1.0471975511966,-3.14,-292.096579091745
-2.24,1.0471975511966,-3.14,-290.900447099133
-2.14,1.0471975511966,-3.14,-289.70431510652
-2.04,1.0471975511966,-3.14,-288.508183113907
-1.94,1.0471975511966,-3.14,-287.312051121294
-1.84,1.0471975511966,-3.14,-286.115919128681
-1.74,1.0471975511966,-3.14,-284.919787136069
-1.64,1.0471975511966,-3.14,-283.723655143456
-1.54,1.0471975511966,-3.14,-282.527555091806
-1.44,1.0471975511966,-3.14,-281.331464528908
-1.34,1.0471975511966,-3.14,-280.13537396601
-1.24,1.0471975511966,-3.14,-278.939283403113
-1.14,1.0471975511966,-3.14,-277.735643606797
-1.04,1.0471975511966,-3.14,-276.529446378184
-0.94,1.0471975511966,-3.14,-275.323249149571
-0.84,1.0471975511966,-3.14,-274.117051920958
-0.74,1.0471975511966,-3.14,-272.910854692345
-0.64,1.0471975511966,-3.14,-271.704657463733
-0.54,1.0471975511966,-3.14,-270.498772100933
-0.44,1.0471975511966,-3.14,-269.293064934399
-0.34,1.0471975511966,-3.14,-268.087357767865
-0.24,1.0471975511966,-3.14,-266.881650601331
-0.14,1.0471975511966,-3.14,-265.675943434797
-0.04,1.0471975511966,-3.14,-264.470236268263
0.0600000000000001,1.0471975511966,-3.14,-263.264529101729
0.16,1.0471975511966,-3.14,-262.058821935195
0.26,1.0471975511966,-3.14,-260.853114768661
0.36,1.0471975511966,-3.14,-259.647407602127
0.46,1.0471975511966,-3.14,-258.441700435593
0.56,1.0471975511966,-3.14,-257.23763559119
0.66,1.0471975511966,-3.14,-256.039432009645
0.76,1.0471975511966,-3.14,-254.8412284281
0.86,1.0471975511966,-3.14,-253.643024846555
0.96,1.0471975511966,-3.14,-252.44482126501
1.06,1.0471975511966,-3.14,-251.246617683466
1.16,1.0471975511966,-3.14,-250.048414101921
1.26,1.0471975511966,-3.14,-248.850937871511
1.36,1.0471975511966,-3.14,-247.663410788186
1.46,1.0471975511966,-3.14,-246.47588370486
1.56,1.0471975511966,-3.14,-245.288356621535
1.66,1.0471975511966,-3.14,-244.100829538209
1.76,1.0471975511966,-3.14,-242.912945442999
1.86,1.0471975511966,-3.14,-241.723965830252
1.96,1.0471975511966,-3.14,-240.534986217506
2.06,1.0471975511966,-3.14,-239.34600660476
2.16,1.0471975511966,-3.14,-238.157026992013
2.26,1.0471975511966,-3.14,-236.968047379267
2.36,1.0471975511966,-3.14,-235.77906776652
2.46,1.0471975511966,-3.14,-234.590088153774
2.56,1.0471975511966,-3.14,-233.400939541538
2.66,1.0471975511966,-3.14,-232.211008723795
2.76,1.0471975511966,-3.14,-231.019466475088
2.86,1.0471975511966,-3.14,-229.82358269948
2.96,1.0471975511966,-3.14,-228.627698923872
3.06,1.0471975511966,-3.14,-227.431815148264
-3.14,1.1471975511966,-3.14,-284.668431968216
-3.04,1.1471975511966,-3.14,-283.472472935126
-2.94,1.1471975511966,-3.14,-282.276517710772
-2.84,1.1471975511966,-3.14,-281.080600722777
-2.74,1.1471975511966,-3.14,-279.884683734782
-2.64,1.1471975511966,-3.14,-278.688766746787
-2.54,1.1471975511966,-3.14,-277.492849758792
-2.44,1.1471975511966,-3.14,-276.296932770797
-2.34,1.1471975511966,-3.14,-275.101015782802
-2.24,1.1471975511966,-3.14,-273.905098794807
