web,web_within_space
0,0.273820933147817
1,0.917939335974895
2,1.56205773880201
3,2.20617614162913
4,2.85029454445626
5,3.49441294728338
6,4.1385313501105
7,4.78264975293763
8,5.42676815576475
9,6.07088655859187
10,6.71500496141899
