pdf_web,vid_img_ppt,total
15,9,71.0650376870626
16,9,73.9699316359415
17,9,76.4456584981517
18,9,78.5723355937039
19,9,80.4114435634517
20,9,82.00993534243
0,10,42.3923616074559
1,10,49.9448917801383
2,10,53.1000636871665
3,10,40.5119198339722
4,10,19.550058158979
5,10,14.9172643297967
6,10,18.5285428969086
7,10,24.8263656430952
8,10,32.1363612368967
9,10,39.7056417088145
10,10,47.0184901423392
11,10,53.7014910765412
12,10,59.5490373004343
13,10,64.5171056680588
14,10,68.6726638142313
15,10,72.1336936337174
16,10,75.0257558777334
17,10,77.4599496029402
18,10,79.5260979926341
19,10,81.2937288719626
20,10,82.8158523940842
0,11,52.0211823617865
1,11,54.9069442333409
2,11,46.2117321435839
3,11,25.7492335231335
4,11,20.200019843353
5,11,23.3839713375856
6,11,27.3407564155816
7,11,30.7470161592599
8,11,35.0082410634336
9,11,40.9670921100305
10,11,47.7295435720023
11,11,54.3292935954265
12,11,60.2563411303636
13,11,65.3332909059907
14,11,69.5725541677122
15,11,73.0759162698292
16,11,75.9707874082391
17,11,78.376929861296
18,11,80.3939176846884
19,11,82.0997144093139
20,11,83.5537898581698
0,12,54.335166929997
1,12,46.5201385349932
2,12,28.9300765262984
3,12,20.0219087084579
4,12,21.1196534397194
5,12,25.8417404627288
6,12,31.5110133885988
7,12,37.6190384457636
8,12,43.5974696103698
9,12,48.5143438417582
10,12,52.3172033717714
11,12,56.4916946924874
12,12,61.3731707659519
13,12,66.1687612773385
14,12,70.3806740099499
15,12,73.9053939633273
16,12,76.8082634771689
17,12,79.1976091713501
18,12,81.1768727944254
19,12,82.8310241473626
20,12,84.2258715129595
0,13,45.5807730246174
1,13,30.6978825405767
2,13,22.0888758078509
3,13,20.0118414939646
4,13,22.5532653256677
5,13,27.2847341343496
6,13,32.7930770981971
7,13,38.9317670330919
8,13,45.6193787171782
9,13,52.597555332828
10,13,59.3197233396303
11,13,64.8573673040355
12,13,68.26082419719
13,13,70.1577560418814
14,13,72.3425561855489
15,13,75.0335120984015
16,13,77.6647871896434
17,13,79.9602801746166
18,13,81.8871285917864
19,13,83.492487597654
20,13,84.8350686892869
0,14,32.1919334676648
1,14,22.7354573901536
2,14,21.6805357268963
3,14,21.1950747180799
4,14,24.1385643290215
5,14,28.7265353997853
6,14,33.9646622815037
7,14,39.7964766529155
8,14,46.2113607054233
9,14,53.0793222477145
10,14,60.1141559674149
11,14,66.9081179131755
12,14,72.998407365079
13,14,77.8546091178976
14,14,80.7688728540568
15,14,81.3678730320188
16,14,81.0872050471041
17,14,81.6177136436554
18,14,82.8340376244467
19,14,84.1805071546377
20,14,85.412017330447
0,15,22.9136572005318
1,15,21.9412783402876
2,15,22.7602504969578
3,15,22.6592252323321
4,15,25.7863709945033
5,15,30.204622426767
6,15,35.1696066709783
7,15,40.6763812392285
8,15,46.7549050120519
9,15,53.3334833274571
10,15,60.1913193076769
11,15,66.9796815350072
12,15,73.3156022895932
13,15,78.8938308880894
14,15,83.5351421092153
15,15,87.118418838573
16,15,89.3826459708958
17,15,89.7826559063571
18,15,88.3586332517448
19,15,86.9251300367601
20,15,86.6801721501421
0,16,21.0923191675963
1,16,23.2982678572738
2,16,24.0923722849498
3,16,24.2418670769617
4,16,27.4711620179273
5,16,31.7104958250492
6,16,36.4051338579333
7,16,41.5852598177529
8,16,47.3123168389759
9,16,53.5650102650915
10,16,60.1819836924707
11,16,66.8575298915152
12,16,73.2138592403162
13,16,78.9196595750765
14,16,83.7812795302882
15,16,87.7576468875354
16,16,90.9089061083783
17,16,93.3101220194943
18,16,94.9281445100823
19,16,95.4343870987712
20,16,94.2407668293912
0,17,22.3114474316933
1,17,25.0683577924782
2,17,25.4592146759837
3,17,25.8996315169095
4,17,29.176293499264
5,17,33.2319063244168
6,17,37.6608819949473
7,17,42.517319202166
8,17,47.8863863973591
9,17,53.7902283117346
10,17,60.1257552095065
11,17,66.6382900429663
12,17,72.9669179522197
13,17,78.7542092321614
14,17,83.7557839648363
15,17,87.8852762643299
16,17,91.1876724123789
17,17,93.7796355937028
18,17,95.7936265616675
19,17,97.335492284932
20,17,98.4367718955265
0,18,24.2011827894336
1,18,26.8822764099394
2,18,26.8366254103387
3,18,27.6073577266711
4,18,30.8869712732563
5,18,34.7564208485318
6,18,38.9259617943134
7,18,43.465217289181
8,18,48.4761341437728
9,18,54.0166480861748
10,18,60.0381749557299
11,18,66.3424919782246
12,18,72.5994249349227
13,18,78.4389602984218
14,18,83.569933464106
15,18,87.8520359509335
16,18,91.2915332990305
17,18,93.9887349211849
18,18,96.0803477477746
19,18,97.7001105269298
20,18,98.9592290483807
0,19,26.2175453417695
1,19,28.6563614293748
2,19,28.2340926133802
3,19,29.3436008740702
4,19,32.5897714396
5,19,36.2723580868554
6,19,40.1899195743054
7,19,44.4213105691788
8,19,49.0792618231228
9,19,54.2497305438815
10,19,59.9327397511772
11,19,65.9883319679007
12,19,72.1287004054041
13,19,77.986425498813
14,19,83.2324740574115
15,19,87.6714018705937
16,19,91.2631128610606
17,19,94.0821811084864
18,19,96.2581648336754
19,19,97.9290909336111
20,19,99.2165969769525
0,20,28.2481864773104
1,20,30.360283282764
2,20,29.6629796409225
3,20,31.089147203333
4,20,34.2727298397249
5,20,37.7691395396556
6,20,41.44310161892
7,20,45.378061744944
8,20,49.6925546503634
9,20,54.4931659511086
10,20,59.8212723146341
11,20,65.5936691538644
12,20,71.5733688613802
13,20,77.410654551642
14,20,82.7506968513159
15,20,87.3452917388879
16,20,91.1023677971335
17,20,94.0629337292934
18,20,96.3432898888215
19,20,98.0818965588189
20,20,99.4071850911359
