image,image_within_space
0,-0.387928368982706
1,1.7666925929034
2,3.92131355478951
3,6.07593451667562
4,8.23055547856175
5,13.6790417221371
6,25.9089992792396
7,25.9089992792396
8,25.9089992792396
9,25.9089992792396
10,25.9089992792396
